F.I.SH,HEMIS Login,Fakultet,Universitet,Ro'yxatdan o'tgan vaqti
𝔾𝕦𝕝𝕚 (TG),395251101400,PR va menejment fakulteti,O‘zbekiston jurnalistika va ommaviy kommunikatsiyalar universiteti,2026-01-19 17:59:31
G‘ULOMJONOVA GULSHODA MUXRIDDIN QIZI,395241100057,PR va menejment fakulteti,O‘zbekiston jurnalistika va ommaviy kommunikatsiyalar universiteti,2026-02-07 18:44:17
𝔊𝔲𝔩𝔰𝔞𝔫𝔞𝔪 (TG),395251101433,PR va menejment fakulteti,O‘zbekiston jurnalistika va ommaviy kommunikatsiyalar universiteti,2026-01-20 17:37:17
GULYAMOVA ALBINA MINOVAROVNA,395251101165,PR va menejment fakulteti,O‘zbekiston jurnalistika va ommaviy kommunikatsiyalar universiteti,2026-02-07 12:42:19
IBRAGIMOVA YULDUZ FAXRIDDIN QIZI,395221100485,PR va menejment fakulteti,O‘zbekiston jurnalistika va ommaviy kommunikatsiyalar universiteti,2026-02-07 15:49:47
IKROMOVA MUSHTARIY XASAN QIZI,395221100454,PR va menejment fakulteti,O‘zbekiston jurnalistika va ommaviy kommunikatsiyalar universiteti,2026-02-08 03:22:57
𝓲𝓼𝓵𝓪𝓶𝓸𝓿𝓪 (TG),395251101293,PR va menejment fakulteti,O‘zbekiston jurnalistika va ommaviy kommunikatsiyalar universiteti,2026-01-21 05:05:36
ISMOILJONOV SAIDAKBAR ERKINJON O‘G‘LI,395251101279,PR va menejment fakulteti,O‘zbekiston jurnalistika va ommaviy kommunikatsiyalar universiteti,2026-02-07 09:54:52
ISMOILOVA SHAXNOZA G‘AYRAT QIZI,395251101790,PR va menejment fakulteti,O‘zbekiston jurnalistika va ommaviy kommunikatsiyalar universiteti,2026-02-07 10:39:37
JABBOROVA SHODIYONA SHAVKAT QIZI,395251101654,PR va menejment fakulteti,O‘zbekiston jurnalistika va ommaviy kommunikatsiyalar universiteti,2026-02-07 12:44:47
JALILOVA SARVINOZ MUZAFFAR QIZI,395241101398,PR va menejment fakulteti,O‘zbekiston jurnalistika va ommaviy kommunikatsiyalar universiteti,2026-02-07 10:28:15
Jamolova Shabnam Shaxriyorovna,395251101417,PR va menejment fakulteti,O‘zbekiston jurnalistika va ommaviy kommunikatsiyalar universiteti,2026-01-29 13:37:16
JO‘RABAYEV JAVOHIR RAVSHAN O‘G‘LI,395251101399,PR va menejment fakulteti,O‘zbekiston jurnalistika va ommaviy kommunikatsiyalar universiteti,2026-01-21 11:09:22
Jo‘Rayeva Sevinch Bekmurod Qizi,395251101385,PR va menejment fakulteti,O‘zbekiston jurnalistika va ommaviy kommunikatsiyalar universiteti,2026-02-07 05:23:41
KARIMOVA HULKAR XAMZA QIZI,395241100421,PR va menejment fakulteti,O‘zbekiston jurnalistika va ommaviy kommunikatsiyalar universiteti,2026-02-06 14:47:15
KELDIYOROV JAVOHIR FAYZULLA O‘G‘LI,395241100080,PR va menejment fakulteti,O‘zbekiston jurnalistika va ommaviy kommunikatsiyalar universiteti,2026-02-07 11:41:44
KOMILJONOV DIYORBEK QODIRJON O‘G‘LI,395241100415,PR va menejment fakulteti,O‘zbekiston jurnalistika va ommaviy kommunikatsiyalar universiteti,2026-02-07 11:33:11
KOMILJONOV JAHONGIR RUSTAMBOY O‘G‘LI,395251101425,PR va menejment fakulteti,O‘zbekiston jurnalistika va ommaviy kommunikatsiyalar universiteti,2026-02-07 14:46:54
Madaminov Sarvarbek Umarbek O‘G‘Li,395231100609,PR va menejment fakulteti,O‘zbekiston jurnalistika va ommaviy kommunikatsiyalar universiteti,2026-02-07 10:50:05
MAHMUDOV ASILBEK G‘ANIQUL O‘G‘LI,395251101979,PR va menejment fakulteti,O‘zbekiston jurnalistika va ommaviy kommunikatsiyalar universiteti,2026-02-07 15:51:57
Malika Toshbulatova (TG),395251101405,PR va menejment fakulteti,O‘zbekiston jurnalistika va ommaviy kommunikatsiyalar universiteti,2026-01-16 10:43:49
MANSURJONOVA XUSHNOZAXON MANSURBEK QIZI,395251101386,PR va menejment fakulteti,O‘zbekiston jurnalistika va ommaviy kommunikatsiyalar universiteti,2026-02-06 17:03:52
MIRSODIQOV MIRZAMUHAMMAD MIRJAMIL O‘G‘LI,395251101666,PR va menejment fakulteti,O‘zbekiston jurnalistika va ommaviy kommunikatsiyalar universiteti,2026-02-07 10:26:11
MIRZAJONOV ISLOMJON O‘KTAMJON O‘G‘LI,395251101403,PR va menejment fakulteti,O‘zbekiston jurnalistika va ommaviy kommunikatsiyalar universiteti,2026-01-21 10:07:28
MIRZAQOSIMOV MANSUR BUNYOD O‘G‘LI,395251101437,PR va menejment fakulteti,O‘zbekiston jurnalistika va ommaviy kommunikatsiyalar universiteti,2026-01-16 10:40:40
Muhammadzufar (TG),395251101268,PR va menejment fakulteti,O‘zbekiston jurnalistika va ommaviy kommunikatsiyalar universiteti,2026-01-16 10:42:30
MURTOZAYEVA SEVINCHGUL JALOLOVNA,395251101394,PR va menejment fakulteti,O‘zbekiston jurnalistika va ommaviy kommunikatsiyalar universiteti,2026-02-06 05:01:25
MUXIDDINOVA SEVINCH SINDOROVNA,395251101415,PR va menejment fakulteti,O‘zbekiston jurnalistika va ommaviy kommunikatsiyalar universiteti,2026-01-19 17:42:32
NABIYEVA DILYORA ARZIMUROD QIZI,395231100244,PR va menejment fakulteti,O‘zbekiston jurnalistika va ommaviy kommunikatsiyalar universiteti,2026-02-08 04:32:56
NASIMOVA ODINA FURQAT QIZI,395241100337,PR va menejment fakulteti,O‘zbekiston jurnalistika va ommaviy kommunikatsiyalar universiteti,2026-02-07 16:49:54
NASRIDDINOVA NAVBAHOR TOXIR QIZI,395251101410,PR va menejment fakulteti,O‘zbekiston jurnalistika va ommaviy kommunikatsiyalar universiteti,2026-02-04 09:07:48
NAZAROVA MUSLIMA YUNUS QIZI,395241100419,PR va menejment fakulteti,O‘zbekiston jurnalistika va ommaviy kommunikatsiyalar universiteti,2026-02-07 12:08:06
NORBOYEVA SEVINCH NURIDDIN QIZI,395251101406,PR va menejment fakulteti,O‘zbekiston jurnalistika va ommaviy kommunikatsiyalar universiteti,2026-01-31 20:34:04
NORMAMATOVA ZULFIYA SHAVKAT QIZI,395241100079,PR va menejment fakulteti,O‘zbekiston jurnalistika va ommaviy kommunikatsiyalar universiteti,2026-02-07 19:59:33
NORMENGLIYEVA NILUFAR SHERMUHAMMAD QIZI,395241100062,PR va menejment fakulteti,O‘zbekiston jurnalistika va ommaviy kommunikatsiyalar universiteti,2026-02-07 14:52:16
NORQOBILOVA GULJAHON KOMILJON QIZI,395251100355,PR va menejment fakulteti,O‘zbekiston jurnalistika va ommaviy kommunikatsiyalar universiteti,2026-02-07 10:23:35
NORQOBILOV BAXTISHOD AZAMAT O‘G‘LI,395241101399,PR va menejment fakulteti,O‘zbekiston jurnalistika va ommaviy kommunikatsiyalar universiteti,2026-02-07 18:44:50
NURMAMATOVA SHOHSANAM DILMUROD QIZI,395251100333,PR va menejment fakulteti,O‘zbekiston jurnalistika va ommaviy kommunikatsiyalar universiteti,2026-02-07 12:09:23
OBIDOVA SHAHZODA JO‘RABEK QIZI,395251101452,PR va menejment fakulteti,O‘zbekiston jurnalistika va ommaviy kommunikatsiyalar universiteti,2026-02-07 14:51:58
OLIMJONOVA UMIDA KAXRAMON QIZI,395241100099,PR va menejment fakulteti,O‘zbekiston jurnalistika va ommaviy kommunikatsiyalar universiteti,2026-02-07 18:26:36
OLIMOV ELBEKJON G‘OLIBJON O‘G‘LI,395251101407,PR va menejment fakulteti,O‘zbekiston jurnalistika va ommaviy kommunikatsiyalar universiteti,2026-01-16 10:55:51
Omonova Aziza Ulug‘Bek Qizi,395251102040,PR va menejment fakulteti,O‘zbekiston jurnalistika va ommaviy kommunikatsiyalar universiteti,2026-02-07 03:12:42
PARPIYEVA SEVINCH FURQAT QIZI,395241100428,PR va menejment fakulteti,O‘zbekiston jurnalistika va ommaviy kommunikatsiyalar universiteti,2026-02-07 12:35:35
PIRBOYEVA XURSANOY MUROD QIZI,395241100092,PR va menejment fakulteti,O‘zbekiston jurnalistika va ommaviy kommunikatsiyalar universiteti,2026-02-07 12:38:54
QAMBAROV ASADBEK UMARALI O‘G‘LI,395241101148,PR va menejment fakulteti,O‘zbekiston jurnalistika va ommaviy kommunikatsiyalar universiteti,2026-02-07 14:45:11
QOBILOV TOXIRJON QAXRAMONJON O‘G‘LI,395251101282,PR va menejment fakulteti,O‘zbekiston jurnalistika va ommaviy kommunikatsiyalar universiteti,2026-02-07 14:50:20
QODIRBOYEVA GULNUR G‘OFURJON QIZI,395241100068,PR va menejment fakulteti,O‘zbekiston jurnalistika va ommaviy kommunikatsiyalar universiteti,2026-02-07 19:41:51
QUZIYEV SODIQJON ZOIR O‘G‘LI,395251101685,PR va menejment fakulteti,O‘zbekiston jurnalistika va ommaviy kommunikatsiyalar universiteti,2026-02-07 18:53:10
RAHIMXONOV JAVOHIRXON RUSTAMXON O‘G‘LI,395251101397,PR va menejment fakulteti,O‘zbekiston jurnalistika va ommaviy kommunikatsiyalar universiteti,2026-01-12 09:12:35
RAXIMOVA MADINAXON ALISHER QIZI,395251101457,PR va menejment fakulteti,O‘zbekiston jurnalistika va ommaviy kommunikatsiyalar universiteti,2026-01-19 18:01:30
RUSTAMOVA MAFTUNA BOBUR QIZI,395251101420,PR va menejment fakulteti,O‘zbekiston jurnalistika va ommaviy kommunikatsiyalar universiteti,2026-02-07 14:47:26
SAIDOVA MUNISXON MUROD QIZI,395251101099,PR va menejment fakulteti,O‘zbekiston jurnalistika va ommaviy kommunikatsiyalar universiteti,2026-02-06 16:46:52
SAIDOVA ORASTA SOBIR QIZI,395251101447,PR va menejment fakulteti,O‘zbekiston jurnalistika va ommaviy kommunikatsiyalar universiteti,2026-02-07 10:27:39
SALIMOVA NIGORAXON NODIRJONOVNA,395241100443,PR va menejment fakulteti,O‘zbekiston jurnalistika va ommaviy kommunikatsiyalar universiteti,2026-02-07 18:10:43
Salomova Shodiyona Nurilla Qizi,395251101662,PR va menejment fakulteti,O‘zbekiston jurnalistika va ommaviy kommunikatsiyalar universiteti,2026-02-08 03:29:09
SATTAROVA SHAXZODA ABDURAYIMOVNA,395251102169,PR va menejment fakulteti,O‘zbekiston jurnalistika va ommaviy kommunikatsiyalar universiteti,2026-02-05 17:14:02
SATTOROVA MAMLAKAT RAMAZONOVNA,395251101294,PR va menejment fakulteti,O‘zbekiston jurnalistika va ommaviy kommunikatsiyalar universiteti,2026-02-07 09:43:25
Shakhina’ (TG),395251101409,PR va menejment fakulteti,O‘zbekiston jurnalistika va ommaviy kommunikatsiyalar universiteti,2026-01-19 19:07:05
Shavkatova Dilnavoz Shodibek Qizi,395221100491,PR va menejment fakulteti,O‘zbekiston jurnalistika va ommaviy kommunikatsiyalar universiteti,2026-02-07 15:24:42
Shaydullayeva Dinora Zafar Qizi,395251101424,PR va menejment fakulteti,O‘zbekiston jurnalistika va ommaviy kommunikatsiyalar universiteti,2026-01-19 17:15:18
SHUKUROVA PARIZODA SA’DULLA QIZI,395251101317,PR va menejment fakulteti,O‘zbekiston jurnalistika va ommaviy kommunikatsiyalar universiteti,2026-02-07 13:20:21
SHUKUROVA XUSNORA MAKSUD QIZI,395251101298,PR va menejment fakulteti,O‘zbekiston jurnalistika va ommaviy kommunikatsiyalar universiteti,2026-02-07 09:47:22
SHUKURULLAYEVA ODINAXON XIKMATILLA QIZI,395251101349,PR va menejment fakulteti,O‘zbekiston jurnalistika va ommaviy kommunikatsiyalar universiteti,2026-02-06 14:33:33
SOBIRALIYEV FARXODJON BURXONJON O‘G‘LI,395241101047,PR va menejment fakulteti,O‘zbekiston jurnalistika va ommaviy kommunikatsiyalar universiteti,2026-02-07 10:37:10
SUYUNOVA XURSHIDA SHERZOD QIZI,395251101709,PR va menejment fakulteti,O‘zbekiston jurnalistika va ommaviy kommunikatsiyalar universiteti,2026-02-07 09:45:58
TOSHBOLTAYEVA RAYHON QAHRAMON QIZI,395251101427,PR va menejment fakulteti,O‘zbekiston jurnalistika va ommaviy kommunikatsiyalar universiteti,2026-02-06 05:04:27
TOSHEVA FARIDA TEMIROVNA,395251101320,PR va menejment fakulteti,O‘zbekiston jurnalistika va ommaviy kommunikatsiyalar universiteti,2026-02-07 16:24:48
UBAYDULLAYEV AZIZBEK ALIMARDON O`G`LI,395251101421,PR va menejment fakulteti,O‘zbekiston jurnalistika va ommaviy kommunikatsiyalar universiteti,2026-01-21 02:40:30
ULUG‘BEKOV YUSUFBEK ABDULAZIZ O‘G‘LI,395251101324,PR va menejment fakulteti,O‘zbekiston jurnalistika va ommaviy kommunikatsiyalar universiteti,2026-02-07 14:59:03
URALOVA DURDONA ABDUXOSHIM QIZI,395251101315,PR va menejment fakulteti,O‘zbekiston jurnalistika va ommaviy kommunikatsiyalar universiteti,2026-02-07 09:46:21
USMONOVA SAODAT ABDUJALIL QIZI,395251101170,PR va menejment fakulteti,O‘zbekiston jurnalistika va ommaviy kommunikatsiyalar universiteti,2026-02-07 11:11:03
VAYDULLAYEVA SHAHINA XAYRULLA QIZI,395251101412,PR va menejment fakulteti,O‘zbekiston jurnalistika va ommaviy kommunikatsiyalar universiteti,2026-01-19 17:25:15
VOSIYEV BAHROM BAXTIYOR O‘G‘LI,395221100462,PR va menejment fakulteti,O‘zbekiston jurnalistika va ommaviy kommunikatsiyalar universiteti,2026-02-07 17:31:17
XOJIMURODOV IBROXIM ALIMARDON O‘G‘LI,395241100113,PR va menejment fakulteti,O‘zbekiston jurnalistika va ommaviy kommunikatsiyalar universiteti,2026-02-08 05:21:36
XOLBOYEVA RAYXONA AZAMAT QIZI,395251101288,PR va menejment fakulteti,O‘zbekiston jurnalistika va ommaviy kommunikatsiyalar universiteti,2026-02-06 17:09:07
XOLDOROV BEHZOD BAHROM O‘G‘LI,395251101941,PR va menejment fakulteti,O‘zbekiston jurnalistika va ommaviy kommunikatsiyalar universiteti,2026-02-07 15:28:12
𝑿. (TG),395251101398,PR va menejment fakulteti,O‘zbekiston jurnalistika va ommaviy kommunikatsiyalar universiteti,2026-01-19 18:06:38
YO‘LCHIBOYEVA GULSEVAR NURBEK QIZI,395251101296,PR va menejment fakulteti,O‘zbekiston jurnalistika va ommaviy kommunikatsiyalar universiteti,2026-02-07 09:47:06
YO‘LDOSHEV SHERZOD BOTIR O‘G‘LI,395251100296,PR va menejment fakulteti,O‘zbekiston jurnalistika va ommaviy kommunikatsiyalar universiteti,2026-02-06 14:21:00
YULDOSHEVA IRODA PO‘LAT QIZI,395251101422,PR va menejment fakulteti,O‘zbekiston jurnalistika va ommaviy kommunikatsiyalar universiteti,2026-02-05 15:47:07
YUSUPOV DIYORBEK DILMUROD O‘G‘LI,395241100345,PR va menejment fakulteti,O‘zbekiston jurnalistika va ommaviy kommunikatsiyalar universiteti,2026-02-07 16:48:30
ZOKIROVA O‘G‘ILOY DILSHOD QIZI,395251101778,PR va menejment fakulteti,O‘zbekiston jurnalistika va ommaviy kommunikatsiyalar universiteti,2026-02-07 18:34:08
Zoyirova F.N. (TG),395251101261,PR va menejment fakulteti,O‘zbekiston jurnalistika va ommaviy kommunikatsiyalar universiteti,2026-01-16 11:16:18
𝑍𝑢ℎ𝑟𝑎 (TG),395251101440,PR va menejment fakulteti,O‘zbekiston jurnalistika va ommaviy kommunikatsiyalar universiteti,2026-01-19 17:47:06
сохиба (TG),395251101404,PR va menejment fakulteti,O‘zbekiston jurnalistika va ommaviy kommunikatsiyalar universiteti,2026-01-20 17:38:37
Хадича Акбарова (TG),395251101423,PR va menejment fakulteti,O‘zbekiston jurnalistika va ommaviy kommunikatsiyalar universiteti,2026-01-16 10:52:04
ABDAXATOVA XULKAR IBROXIM QIZI,395251100517,Xalqaro munosabatlar va ijtimoiy-gumanitar fanlar fakulteti,O‘zbekiston jurnalistika va ommaviy kommunikatsiyalar universiteti,2026-02-07 06:43:48
ABDINAZAROVA SOLIHA AKBAR QIZI,395251101451,Xalqaro munosabatlar va ijtimoiy-gumanitar fanlar fakulteti,O‘zbekiston jurnalistika va ommaviy kommunikatsiyalar universiteti,2026-02-07 12:19:28
ABDIQULOVA MAXLIYO ABDUNAZIR QIZI,395251100692,Xalqaro munosabatlar va ijtimoiy-gumanitar fanlar fakulteti,O‘zbekiston jurnalistika va ommaviy kommunikatsiyalar universiteti,2026-02-07 06:56:04
ABDIROXMONOVA SOXIBJAMOL SHAROFIDDINOVNA,395251102139,Xalqaro munosabatlar va ijtimoiy-gumanitar fanlar fakulteti,O‘zbekiston jurnalistika va ommaviy kommunikatsiyalar universiteti,2026-02-07 10:44:39
ABDISALOMOVA SHAXRIZODA RUSTAM QIZI,395251101812,Xalqaro munosabatlar va ijtimoiy-gumanitar fanlar fakulteti,O‘zbekiston jurnalistika va ommaviy kommunikatsiyalar universiteti,2026-02-07 10:23:27
ABDUBANNOBOVA SARVINOZXON SHUHRAT QIZI,395251100750,Xalqaro munosabatlar va ijtimoiy-gumanitar fanlar fakulteti,O‘zbekiston jurnalistika va ommaviy kommunikatsiyalar universiteti,2026-02-07 15:35:26
ABDUFATOXOVA MADINA MIRALIYEVNA,527251103650,Xalqaro munosabatlar va ijtimoiy-gumanitar fanlar fakulteti,O‘zbekiston jurnalistika va ommaviy kommunikatsiyalar universiteti,2026-02-07 15:56:27
ABDUG‘AFFOROVA NAZOKATXON XAYRULLA QIZI,395251101731,Xalqaro munosabatlar va ijtimoiy-gumanitar fanlar fakulteti,O‘zbekiston jurnalistika va ommaviy kommunikatsiyalar universiteti,2026-02-07 13:20:23
ABDUG‘AFUROVA NILUFAR ANVARJON QIZI,395251100882,Xalqaro munosabatlar va ijtimoiy-gumanitar fanlar fakulteti,O‘zbekiston jurnalistika va ommaviy kommunikatsiyalar universiteti,2026-02-07 14:11:39
ABDUG‘OPIROV SHAXZOD KAMOL O‘G‘LI,395251100495,Xalqaro munosabatlar va ijtimoiy-gumanitar fanlar fakulteti,O‘zbekiston jurnalistika va ommaviy kommunikatsiyalar universiteti,2026-02-07 12:19:31
ABDUKARIMOVA CHAROS YAXSHIBOY QIZI,395251101921,Xalqaro munosabatlar va ijtimoiy-gumanitar fanlar fakulteti,O‘zbekiston jurnalistika va ommaviy kommunikatsiyalar universiteti,2026-02-07 15:16:08
ABDUKOMILOVA DILNURA ABDURAZZOQ QIZI,395251101761,Xalqaro munosabatlar va ijtimoiy-gumanitar fanlar fakulteti,O‘zbekiston jurnalistika va ommaviy kommunikatsiyalar universiteti,2026-02-07 15:21:57
ABDULLAYEVA MARJONA JASURBEK QIZI,395251100890,Xalqaro munosabatlar va ijtimoiy-gumanitar fanlar fakulteti,O‘zbekiston jurnalistika va ommaviy kommunikatsiyalar universiteti,2026-02-07 09:03:36
ABDULLAYEVA SEVINCHOY ZOIR QIZI,395251100753,Xalqaro munosabatlar va ijtimoiy-gumanitar fanlar fakulteti,O‘zbekiston jurnalistika va ommaviy kommunikatsiyalar universiteti,2026-02-07 14:58:16
ABDULLAYEVA UMIDA G‘ULAM QIZI,395251100894,Xalqaro munosabatlar va ijtimoiy-gumanitar fanlar fakulteti,O‘zbekiston jurnalistika va ommaviy kommunikatsiyalar universiteti,2026-02-07 10:23:44
ABDULXAKIMOVA GULXAYO DONIYORJON QIZI,395251101198,Xalqaro munosabatlar va ijtimoiy-gumanitar fanlar fakulteti,O‘zbekiston jurnalistika va ommaviy kommunikatsiyalar universiteti,2026-02-07 14:58:04
ABDUMALIKOVA SHOIRAXON SHUXRAT QIZI,395251100615,Xalqaro munosabatlar va ijtimoiy-gumanitar fanlar fakulteti,O‘zbekiston jurnalistika va ommaviy kommunikatsiyalar universiteti,2026-02-07 06:35:28
ABDUMALIKOV LAZIZBEK NABIJON O‘G‘LI,395251100189,Xalqaro munosabatlar va ijtimoiy-gumanitar fanlar fakulteti,O‘zbekiston jurnalistika va ommaviy kommunikatsiyalar universiteti,2026-02-07 14:18:43
ABDUPATTOYEVA FARIDAXON AXMADULLO QIZI,395251100914,Xalqaro munosabatlar va ijtimoiy-gumanitar fanlar fakulteti,O‘zbekiston jurnalistika va ommaviy kommunikatsiyalar universiteti,2026-02-07 19:06:18
ABDURASHIDOVA GULNOZA XOLMO‘MIN QIZI,395241100528,Xalqaro munosabatlar va ijtimoiy-gumanitar fanlar fakulteti,O‘zbekiston jurnalistika va ommaviy kommunikatsiyalar universiteti,2026-02-07 15:03:45
ABDURAXIMOVA RUXSHONA TOXIRBEK QIZI,395251100904,Xalqaro munosabatlar va ijtimoiy-gumanitar fanlar fakulteti,O‘zbekiston jurnalistika va ommaviy kommunikatsiyalar universiteti,2026-02-07 12:17:50
ABDUSALOMOVA NASIBAXON BAXROM QIZI,395231100612,Xalqaro munosabatlar va ijtimoiy-gumanitar fanlar fakulteti,O‘zbekiston jurnalistika va ommaviy kommunikatsiyalar universiteti,2026-02-07 14:56:35
ABDUVALIYEVA ASILA A’ZAM QIZI,395251100611,Xalqaro munosabatlar va ijtimoiy-gumanitar fanlar fakulteti,O‘zbekiston jurnalistika va ommaviy kommunikatsiyalar universiteti,2026-02-07 12:11:41
ABDUVAXOBOVA SEVARA QAXRAMON QIZI,395251100570,Xalqaro munosabatlar va ijtimoiy-gumanitar fanlar fakulteti,O‘zbekiston jurnalistika va ommaviy kommunikatsiyalar universiteti,2026-02-07 12:20:24
ABDUXALIMOVA SEVINCHBONU SHUXRAT QIZI,395251101840,Xalqaro munosabatlar va ijtimoiy-gumanitar fanlar fakulteti,O‘zbekiston jurnalistika va ommaviy kommunikatsiyalar universiteti,2026-02-07 10:26:52
ABDUXOLIQOVA FARANGIZ SHOVKAT QIZI,395241101269,Xalqaro munosabatlar va ijtimoiy-gumanitar fanlar fakulteti,O‘zbekiston jurnalistika va ommaviy kommunikatsiyalar universiteti,2026-02-07 14:24:24
ADXAMOVA LAZIZAXON A’ZAMJON QIZI,395251101482,Xalqaro munosabatlar va ijtimoiy-gumanitar fanlar fakulteti,O‘zbekiston jurnalistika va ommaviy kommunikatsiyalar universiteti,2026-02-07 18:52:51
AHADOVA DILOBAR FURQAT QIZI,395251101919,Xalqaro munosabatlar va ijtimoiy-gumanitar fanlar fakulteti,O‘zbekiston jurnalistika va ommaviy kommunikatsiyalar universiteti,2026-02-07 11:13:36
AKMALXONOVA AZIZAXON RAVSHAN QIZI,395251100633,Xalqaro munosabatlar va ijtimoiy-gumanitar fanlar fakulteti,O‘zbekiston jurnalistika va ommaviy kommunikatsiyalar universiteti,2026-02-07 11:43:18
ALIJONOVA KUMUSH RUSTAMBEK QIZI,395251100740,Xalqaro munosabatlar va ijtimoiy-gumanitar fanlar fakulteti,O‘zbekiston jurnalistika va ommaviy kommunikatsiyalar universiteti,2026-02-07 11:46:24
ALIJONOVA SHAHINA NOZIMJON QIZI,395251101856,Xalqaro munosabatlar va ijtimoiy-gumanitar fanlar fakulteti,O‘zbekiston jurnalistika va ommaviy kommunikatsiyalar universiteti,2026-02-07 12:56:54
ALIQULOVA MASHXURA O‘KTAM QIZI,395251101210,Xalqaro munosabatlar va ijtimoiy-gumanitar fanlar fakulteti,O‘zbekiston jurnalistika va ommaviy kommunikatsiyalar universiteti,2026-02-07 14:41:51
AMIROVA DIYORA RAVSHAN QIZI,395241100239,Xalqaro munosabatlar va ijtimoiy-gumanitar fanlar fakulteti,O‘zbekiston jurnalistika va ommaviy kommunikatsiyalar universiteti,2026-02-07 19:11:15
AMIROVA MEHRIBON BEHZOD QIZI,395251101830,Xalqaro munosabatlar va ijtimoiy-gumanitar fanlar fakulteti,O‘zbekiston jurnalistika va ommaviy kommunikatsiyalar universiteti,2026-02-07 12:38:54
ANORBAYEVA GULSEVAR PULAT QIZI,395251101178,Xalqaro munosabatlar va ijtimoiy-gumanitar fanlar fakulteti,O‘zbekiston jurnalistika va ommaviy kommunikatsiyalar universiteti,2026-02-08 04:05:28
ANVARJONOVA FOTIMA SHUXRATBEK QIZI,395251100195,Xalqaro munosabatlar va ijtimoiy-gumanitar fanlar fakulteti,O‘zbekiston jurnalistika va ommaviy kommunikatsiyalar universiteti,2026-02-07 12:45:56
ANVARJONOVA ZUXRA SHUXRATBEK QIZI,395251100928,Xalqaro munosabatlar va ijtimoiy-gumanitar fanlar fakulteti,O‘zbekiston jurnalistika va ommaviy kommunikatsiyalar universiteti,2026-02-07 12:44:00
ARSLONBOYEVA NASIBA SHERALI QIZI,395241101162,Xalqaro munosabatlar va ijtimoiy-gumanitar fanlar fakulteti,O‘zbekiston jurnalistika va ommaviy kommunikatsiyalar universiteti,2026-02-07 11:10:36
ASADULLOYEVA BAHORA RAHMATILLO QIZI,395251100073,Xalqaro munosabatlar va ijtimoiy-gumanitar fanlar fakulteti,O‘zbekiston jurnalistika va ommaviy kommunikatsiyalar universiteti,2026-02-07 06:08:35
ASHUROVA DINORA BOTIRALI QIZI,395251100860,Xalqaro munosabatlar va ijtimoiy-gumanitar fanlar fakulteti,O‘zbekiston jurnalistika va ommaviy kommunikatsiyalar universiteti,2026-02-07 12:15:44
ASTANOVA KAMOLA AKRAMOVNA,395251101131,Xalqaro munosabatlar va ijtimoiy-gumanitar fanlar fakulteti,O‘zbekiston jurnalistika va ommaviy kommunikatsiyalar universiteti,2026-02-07 06:34:13
ATAKULOVA MADINA BATIRALI QIZI,395251101402,Xalqaro munosabatlar va ijtimoiy-gumanitar fanlar fakulteti,O‘zbekiston jurnalistika va ommaviy kommunikatsiyalar universiteti,2026-02-07 14:12:35
AVALBOYEVA SEVINCH ERKIN QIZI,395251101586,Xalqaro munosabatlar va ijtimoiy-gumanitar fanlar fakulteti,O‘zbekiston jurnalistika va ommaviy kommunikatsiyalar universiteti,2026-02-07 15:19:06
AVAZBEKOVA DILNAVOZ FARXODJON QIZI,395251100920,Xalqaro munosabatlar va ijtimoiy-gumanitar fanlar fakulteti,O‘zbekiston jurnalistika va ommaviy kommunikatsiyalar universiteti,2026-02-07 11:25:50
AZAMATOVA SEVINCH SHUHRAT QIZI,395251101819,Xalqaro munosabatlar va ijtimoiy-gumanitar fanlar fakulteti,O‘zbekiston jurnalistika va ommaviy kommunikatsiyalar universiteti,2026-02-07 13:20:09
AZAMJONOVA MOXIZODABONU MIRODIL QIZI,395251101805,Xalqaro munosabatlar va ijtimoiy-gumanitar fanlar fakulteti,O‘zbekiston jurnalistika va ommaviy kommunikatsiyalar universiteti,2026-02-07 12:30:55
AZIMOVA MOXIMBEGIM ANVARJON QIZI,395241101427,Xalqaro munosabatlar va ijtimoiy-gumanitar fanlar fakulteti,O‘zbekiston jurnalistika va ommaviy kommunikatsiyalar universiteti,2026-02-08 03:03:21
BAHODIROVA DINARABONU SHAVKATXON QIZI,395251100614,Xalqaro munosabatlar va ijtimoiy-gumanitar fanlar fakulteti,O‘zbekiston jurnalistika va ommaviy kommunikatsiyalar universiteti,2026-02-07 06:48:35
BAHROMOVA MARJONA SHUXRAT QIZI,395251100800,Xalqaro munosabatlar va ijtimoiy-gumanitar fanlar fakulteti,O‘zbekiston jurnalistika va ommaviy kommunikatsiyalar universiteti,2026-02-07 14:26:50
BAHROMOVA ODINA BAHODIRJON QIZI,395251101718,Xalqaro munosabatlar va ijtimoiy-gumanitar fanlar fakulteti,O‘zbekiston jurnalistika va ommaviy kommunikatsiyalar universiteti,2026-02-07 11:04:07
BAXODIRJONOVA SARVINOZ BAXODIRJON QIZI,395241100535,Xalqaro munosabatlar va ijtimoiy-gumanitar fanlar fakulteti,O‘zbekiston jurnalistika va ommaviy kommunikatsiyalar universiteti,2026-02-07 11:13:12
BAXODIROVA MUXAYYOXON JAXONGIR QIZI,395251101791,Xalqaro munosabatlar va ijtimoiy-gumanitar fanlar fakulteti,O‘zbekiston jurnalistika va ommaviy kommunikatsiyalar universiteti,2026-02-07 13:44:55
